	,	,	,	,Quantidades,	,	,  	,	,	,Tamanhos,	,	,  	,	,Tempo (ms),	,	,	,	
Tela, Nome do Arquivo,img,css,js,html,outros,total,img,css,js,html,outros,total,Blocking,Waiting,Receiving,Total,Page load, On Content Load
 Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\br.yahoo.com+2017-06-25+10-16-27.har,127,3,50,60,94,334,28811,300079,3001438,226224,94025,3650577,41906,58055,2392,102353,-1,1152
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\br.yahoo.com+2017-06-26+21-55-12.har,54,3,41,26,16,140,18723,300079,3068603,161344,72924,3621673,26251,68102,6232,100585,12681,2414
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\br.yahoo.com+2017-07-11+19-50-50.har,43,5,37,14,15,114,12851,305094,3000803,146660,120820,3586228,24650,55515,11590,91755,16268,6713
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.google.com.br+2017-06-25+10-18-00.har,6,0,4,1,0,11,629,0,800930,358,0,801917,271,589,115,975,792,3
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.google.com.br+2017-07-11+19-18-45.har,6,0,4,2,0,12,629,0,804836,494,0,805959,1335,1274,493,3102,2145,27
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.google.com.br+2017-07-11+19-20-17.har,6,0,4,1,0,11,629,0,803559,355,0,804543,418,4058,1467,5943,1717,63
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.google.com.br+2017-07-16+16-16-52.har,6,0,4,1,0,11,629,0,808374,328,0,809331,1312,527,130,1969,3279,-35
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-12+23-06-34.har,38,25,28,1,9,101,5450,512332,1744756,32215,417334,2712087,159353,17866,34408,211627,15505,7134
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-12+23-16-28.har,38,25,28,1,9,101,5452,512332,1744756,32058,417334,2711932,67066,17923,45520,130509,11805,4631
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-12+23-39-52.har,38,25,28,1,9,101,5448,512332,1744756,32171,417334,2712041,63942,11456,30140,105538,12310,2901
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-12+23-40-40.har,38,25,28,1,9,101,5452,512332,1744756,32105,417334,2711979,83534,18440,58162,160136,10266,3292
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-15+23-40-46.har,38,25,28,1,9,101,5470,512257,1746476,32221,417338,2713762,110784,13877,23118,147779,6462,3526
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-16+15-54-16.har,38,25,28,1,9,101,5468,512257,1746476,32448,417338,2713987,19471,4483,5170,29124,3535,729
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-16+15-55-11.har,38,25,28,1,9,101,5464,512257,1746476,32374,417338,2713909,22598,5431,5545,33574,3500,909
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-16+16-03-40.har,38,25,28,1,9,101,5466,512257,1746476,32429,417338,2713966,20642,4338,5170,30150,3713,845
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-16+16-17-17.har,38,25,28,1,9,101,5470,512257,1746476,32483,417338,2714024,19532,4166,5157,28855,3880,1027
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-16+16-44-57.har,38,25,28,1,9,101,5470,512257,1746476,32171,417338,2713712,19814,4633,7833,32280,6560,849
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-16+16-49-10.har,38,25,28,1,9,101,5469,512257,1746476,32295,417338,2713835,21882,5194,7055,34131,4419,870
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-16+16-50-28.har,38,25,28,1,9,101,5467,512257,1746476,32173,417338,2713711,20047,5038,5058,30143,3277,855
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-16+16-51-29.har,38,25,28,1,9,101,5469,512257,1746476,32330,417338,2713870,19733,4200,4644,28577,3122,850
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-16+17-08-24.har,38,25,28,1,9,101,5464,512257,1746476,32074,417338,2713609,18513,4371,5237,28121,3485,936
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-16+17-09-17.har,38,25,28,1,9,101,5470,512257,1746476,32387,417338,2713928,20199,4677,5424,30300,3383,849
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-16+17-10-12.har,38,25,28,1,9,101,5465,512257,1746476,32257,417338,2713793,20628,4021,6009,30658,3646,901
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-16+17-10-56.har,38,25,28,1,9,101,5467,512257,1746476,35744,417338,2717282,18008,4100,5241,27349,3241,718
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-16+17-12-00.har,38,25,28,1,9,101,5469,512257,1746476,32312,417338,2713852,22546,4378,5173,32097,3438,924
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-16+17-24-39.har,38,25,28,1,9,101,5468,512257,1746476,32257,417338,2713796,19675,4124,4873,28672,3123,836
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\www.ufop.br+2017-07-16+17-37-00.har,38,25,28,1,9,101,5466,512257,1746476,32124,417338,2713661,16855,4164,5848,26867,3552,701
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\zeppelin10.ufop.br+2017-07-15+23-40-44.har,4,3,4,0,0,11,466,106377,700817,0,0,807660,6503,3775,4387,14665,2622,2232
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\zeppelin10.ufop.br+2017-07-16+16-17-14.har,4,3,4,0,0,11,466,106377,700817,0,0,807660,991,521,711,2223,2408,964
Home,D:\ViewItGUIRepo\GUIViewIt\harDirectory\zeppelin10.ufop.br+2017-07-16+17-36-47.har,4,3,4,0,0,11,466,106377,700817,0,0,807660,1155,809,617,2581,946,679
